"GEOID10","NAME","TOTAL_POPULATION","HISP_LAT_TOTAL","HISP_LAT_NONHISPANIC_LATINO","HISP_LAT_HISPANIC_LATINO","TOTAL_POP_WHITE","MEDIAN_AGE"
"36005037300","Census Tract 373, Bronx County, New York",5318,5318,1941,3377,1190,28.8
"36005037400","Census Tract 374, Bronx County, New York",3441,3441,1936,1505,556,34.7
"36005037504","Census Tract 375.04, Bronx County, New York",3677,3677,1243,2434,822,30.9
"36005037600","Census Tract 376, Bronx County, New York",2148,2148,1333,815,389,36
"36005037800","Census Tract 378, Bronx County, New York",3048,3048,1990,1058,487,32.3
"36005037900","Census Tract 379, Bronx County, New York",5093,5093,2567,2526,743,24.9
"36005038000","Census Tract 380, Bronx County, New York",4585,4585,3555,1030,392,38.1
"36005038100","Census Tract 381, Bronx County, New York",6382,6382,1818,4564,1417,35.2
"36005038200","Census Tract 382, Bronx County, New York",2596,2596,2117,479,153,33
"36005038301","Census Tract 383.01, Bronx County, New York",4797,4797,1481,3316,981,30.2
"36005038302","Census Tract 383.02, Bronx County, New York",6106,6106,2635,3471,900,27.5
"36005038500","Census Tract 385, Bronx County, New York",4758,4758,1589,3169,1071,25.2
"36005038600","Census Tract 386, Bronx County, New York",7409,7409,6227,1182,412,33.1
"36005038700","Census Tract 387, Bronx County, New York",3216,3216,1262,1954,1069,30.9
"36005038800","Census Tract 388, Bronx County, New York",2606,2606,2239,367,122,36.4
"36005038900","Census Tract 389, Bronx County, New York",5325,5325,2250,3075,2404,25.8
"36005039000","Census Tract 390, Bronx County, New York",2975,2975,2277,698,196,31.3
"36005039100","Census Tract 391, Bronx County, New York",6992,6992,2044,4948,2515,27.1
"36005039200","Census Tract 392, Bronx County, New York",1781,1781,1290,491,194,31.7
"36005039300","Census Tract 393, Bronx County, New York",8143,8143,3213,4930,2046,27.8
"36005039400","Census Tract 394, Bronx County, New York",4573,4573,3076,1497,578,35.3
"36005039500","Census Tract 395, Bronx County, New York",4146,4146,1484,2662,769,28
"36005039600","Census Tract 396, Bronx County, New York",3756,3756,3020,736,205,33.9
"36005039700","Census Tract 397, Bronx County, New York",3702,3702,2680,1022,2497,22.4
"36005039800","Census Tract 398, Bronx County, New York",3090,3090,2781,309,82,34.9
"36005039901","Census Tract 399.01, Bronx County, New York",5228,5228,1836,3392,1151,30.1
"36005039902","Census Tract 399.02, Bronx County, New York",5279,5279,1583,3696,1027,29.2
"36005040100","Census Tract 401, Bronx County, New York",4593,4593,1177,3416,1201,33.8
